question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,american,yes,0.3088608980178833,0.24816516041755676
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,lord high treasurer,Chief of Protocol,0.13198821246623993,0.27236565947532654
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",animorphs,Animorphs,0.48083022236824036,1.0
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,ortakoy,no,0.47395363450050354,0.2290678471326828
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",adriana trigiani,"Greenwich Village, New York City",0.43014150857925415,0.06928784400224686
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,yg entertainment,YG Entertainment,0.4258989095687866,1.0
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,eenasul fateh eenasul fateh,Eenasul Fateh,0.6447412371635437,0.9638388752937317
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"1, 400","3,677 seated",0.638306200504303,0.08759597688913345
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","terry richardson terrence "" uncle terry "" richardson",Terry Richardson,0.30692052841186523,0.806098222732544
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,for against,yes,0.02952699176967144,0.21149839460849762
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.42335984110832214,0.9636563062667847
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",david weissman david weissman,David Weissman,0.425491064786911,0.9728230237960815
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,0.4556123614311218,1.0
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"random house tower the random house tower, also known as the park imperial apartments, is a 52 - story mixed - use tower in new york city, united states, that is used as the headquarters of book publisher random house and a luxury apartment complex.",no,0.0446954146027565,0.021470751613378525
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,1945 to 1969,from 1986 to 2013,0.7752704620361328,0.43431851267814636
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,,"9,984",0.07026595622301102,0.020924001932144165
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,north atlantic conference,the North Atlantic Conference,0.6983224749565125,0.9840297102928162
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,ambroise thomas charles louis ambroise thomas,yes,0.18237987160682678,0.03588217496871948
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,nixon administration,1969 until 1974,0.5085027813911438,0.34111785888671875
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",erskine childers,Robert Erskine Childers DSC,0.9419535994529724,0.8091966509819031
