question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?, american,yes,0.7417685389518738,0.24816516041755676
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,,Chief of Protocol,0.9852299690246582,0.1642952263355255
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",,Animorphs,0.9833497405052185,0.1915595829486847
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,,no,0.9043240547180176,0.503203272819519
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",,"Greenwich Village, New York City",0.7080445289611816,0.06450416147708893
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?, loen entertainment,YG Entertainment,0.7103638052940369,0.6013779640197754
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,,Eenasul Fateh,0.9928422570228577,0.19737161695957184
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?," 1, 400","3,677 seated",0.3189620077610016,0.08759597688913345
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",,Terry Richardson,0.9948545098304749,0.20815923810005188
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,,yes,0.990378201007843,0.4865747094154358
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.7633994817733765,0.9636563062667847
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",,David Weissman,0.9872580170631409,0.223412424325943
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,,1999,0.9477437734603882,0.24651384353637695
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?, used as the headquarters of book publisher random house and a luxury apartment complex,no,0.24335618317127228,-0.001211388036608696
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,"The football manager who recruited David Beckham managed Manchester United during what timeframe?sir matt busby sports complex the sir matt busby sports complex is a public leisure centre located in bellshill, north lanarkshire, scotland. it is named in honour of sir matt busby, the football manager who was born in bellshill in 1909, managed manchester united from 1945 to 1969 and died in 1994. ernest mangnall james ernest mangnall ( 4 january 1866 – 13 january 1932 ) was an english football manager who started his career with burnley and managed manchester united between 1903 – 1912 and then went on to manage manchester city from 1912 – 1924, and is the only man to date to have managed both clubs. david beckham academy the david beckham academy was a football school founded by england international david beckham in 2005. in 2009 it operated in two locations : in london, united kingdom, and in los angeles, california, united states. the academy pulled out of the london site at the end of the lease in october 2009, and the california branch closed soon after. matt busby sir alexander matthew busby, cbe, kcsg ( 26 may 1909 – 20 january 1994 ) was a scottish football player and manager, who managed manchester united between 1945 and 1969 and again for the second half of the 1970 – 71 season. he is widely regarded as one of the greatest managers of all time. his managerial records and longevity at the helm of manchester united are surpassed only by sir alex ferguson. alex ferguson sir alexander chapman ferguson, cbe ( born 31 december 1941 ) is a scottish former football manager and player who managed manchester united from 1986 to 2013",from 1986 to 2013,0.35608214139938354,0.0951182097196579
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?, united states,"9,984",0.17428815364837646,0.01852855086326599
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?, north atlantic conference,the North Atlantic Conference,0.5115193724632263,0.9840297102928162
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,,yes,0.7726210355758667,0.4865747094154358
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,,1969 until 1974,0.669563353061676,0.0932607501745224
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",,Robert Erskine Childers DSC,0.9962649345397949,0.07091613113880157
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?, sergio perez,Pedro Rodríguez,0.3034476935863495,0.6391764879226685
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,,Sonic,0.9452921152114868,0.2908846139907837
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?", isight imac g5,keyboard function keys,0.18967774510383606,0.13982826471328735
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",,Badly Drawn Boy,0.9718290567398071,0.2016093134880066
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,,World's Best Goalkeeper,0.9122126698493958,0.10042905807495117
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,,Barton Lee Hazlewood,0.5607115030288696,0.11606600135564804
5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",,1838,0.9858338236808777,0.16272476315498352
5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?",,yes,0.534162700176239,0.4865747094154358
5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,henry j. kaiser henry john kaiser,Henry J. Kaiser,0.4390891492366791,0.9583988189697266
5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",,Arena of Khazan,0.9932752847671509,0.263080894947052
